cik|ticker|date_filed|URL
1705843|CLXT|2019-03-12|https://www.sec.gov/Archives/edgar/data/1705843/000119312519071016/d718916dex991.htm
1707092|DLPH|2019-02-21|https://www.sec.gov/Archives/edgar/data/1707092/000114420419009202/tv514132_ex99-1.htm
1707178|CPLG|2019-03-21|https://www.sec.gov/Archives/edgar/data/1707178/000156459019008795/cplg-ex991_6.htm
1707502|SLDB|2019-03-13|https://www.sec.gov/Archives/edgar/data/1707502/000119312519072676/d630777dex991.htm
1707753|ESTC|2019-02-27|https://www.sec.gov/Archives/edgar/data/1707753/000156459019004931/estc-ex991_6.htm
1708035|PQG|2019-02-21|https://www.sec.gov/Archives/edgar/data/1708035/000170803519000003/ex991-pqg4q18earningsrelea.htm
1708055|RBBN|2019-02-20|https://www.sec.gov/Archives/edgar/data/1708055/000110465919009564/a19-5025_1ex99d1.htm
1708301|BPMP|2019-02-28|https://www.sec.gov/Archives/edgar/data/1708301/000170830119000006/ex9912018resultspr.htm
1708405|TRMT|2019-02-07|https://www.sec.gov/Archives/edgar/data/1708405/000170840519000006/trmt_123118xearningsrelease.htm
1708493|HARP|2019-03-14|https://www.sec.gov/Archives/edgar/data/1708493/000156459019007819/harp-ex991_6.htm
1709017|FFBW|2019-02-07|https://www.sec.gov/Archives/edgar/data/1709017/000143774919002065/ex_133792.htm
1709164|HBB|2019-03-06|https://www.sec.gov/Archives/edgar/data/1709164/000170916419000005/hbbhc123118earningsrelease.htm
1709164|HBB|2019-03-06|https://www.sec.gov/Archives/edgar/data/1709164/000170916419000006/dataschedule123118ex99.htm
1709401|RUBY|2019-03-28|https://www.sec.gov/Archives/edgar/data/1709401/000110465919018062/a19-7360_1ex99d1.htm
1710155|EYE|2019-02-27|https://www.sec.gov/Archives/edgar/data/1710155/000171015519000013/exhibit991-201810xk.htm
1710340|ETON|2019-03-25|https://www.sec.gov/Archives/edgar/data/1710340/000149315219003813/ex99-1.htm
1710366|CEIX|2019-02-07|https://www.sec.gov/Archives/edgar/data/1710366/000171036619000002/ex991pressrelease02-07x2019.htm
1710583|SWCH|2019-03-12|https://www.sec.gov/Archives/edgar/data/1710583/000162828019002814/exhibit991pressreleasedate.htm
1711269|EVRG|2019-02-21|https://www.sec.gov/Archives/edgar/data/1711269/000171126919000012/ex991evergy4q2018pressrele.htm
1711279|KRYS|2019-03-12|https://www.sec.gov/Archives/edgar/data/1711279/000119312519071386/d719855dex991.htm
1711291|CURO|2019-01-31|https://www.sec.gov/Archives/edgar/data/1711291/000171129119000002/ex991-q42018doc.htm
1712923|GSKY|2019-03-05|https://www.sec.gov/Archives/edgar/data/1712923/000171292319000003/exhibit9912018ye.htm
1713683|ZS|2019-02-28|https://www.sec.gov/Archives/edgar/data/1713683/000171368319000003/zs-01312019991.htm
1713832|HYRE|2019-03-28|https://www.sec.gov/Archives/edgar/data/1713832/000121390019005123/f8k032819ex99-1_hyrecar.htm
1713863|RFL|2019-03-12|https://www.sec.gov/Archives/edgar/data/1713863/000121390019003976/f8k031219ex99-1_rafaelhold.htm
1714899|DNLI|2019-03-12|https://www.sec.gov/Archives/edgar/data/1714899/000171489919000008/ex991earningsreleaseq4.htm
1716621|RMED|2019-03-14|https://www.sec.gov/Archives/edgar/data/1716621/000156459019007812/rmed-ex991_20.htm
1716697|FCBP|2019-01-28|https://www.sec.gov/Archives/edgar/data/1716697/000149315219000998/ex99-1.htm
1717307|ILPT|2019-02-20|https://www.sec.gov/Archives/edgar/data/1717307/000171730719000007/ilpt_exhibit991x123118xspr.htm
1717547|CLNC|2019-02-28|https://www.sec.gov/Archives/edgar/data/1717547/000119312519057451/d708105dex991.htm
1718227|ROAD|2019-02-11|https://www.sec.gov/Archives/edgar/data/1718227/000171822719000004/earningsrelease-q12019.htm
1718512|GTES|2019-02-12|https://www.sec.gov/Archives/edgar/data/1718512/000171851219000002/gtes-exhibit991q42018.htm
1720116|RDVT|2019-03-07|https://www.sec.gov/Archives/edgar/data/1720116/000156459019006614/rdvt-ex991_7.htm
1720580|TORC|2019-03-18|https://www.sec.gov/Archives/edgar/data/1720580/000156459019008256/torc-ex991_6.htm
1720635|NVT|2019-01-31|https://www.sec.gov/Archives/edgar/data/1720635/000172063519000003/q42018nvtpressrelease.htm
1720893|BTAI|2019-03-07|https://www.sec.gov/Archives/edgar/data/1720893/000110465919013402/a19-5815_2ex99d1.htm
1721741|LAZY|2019-03-21|https://www.sec.gov/Archives/edgar/data/1721741/000149315219003679/ex99-1.htm
1722010|OPBK|2019-01-25|https://www.sec.gov/Archives/edgar/data/1722010/000156459019001100/opbk-ex991_6.htm
1722287|CVIA|2019-03-21|https://www.sec.gov/Archives/edgar/data/1722287/000156459019008707/cvia-ex991_6.htm
1722684|WH|2019-02-13|https://www.sec.gov/Archives/edgar/data/1722684/000172268419000004/exhibit991.htm
1722964|YMAB|2019-03-22|https://www.sec.gov/Archives/edgar/data/1722964/000110465919016808/a19-7005_1ex99d1.htm
1723128|AMRX|2019-02-28|https://www.sec.gov/Archives/edgar/data/1723128/000172312819000023/amrxexhibit991pressrelease.htm
1723596|CLBK|2019-01-31|https://www.sec.gov/Archives/edgar/data/1723596/000172359619000005/exhibit9914q2018.htm
1723866|SIC|2019-03-15|https://www.sec.gov/Archives/edgar/data/1723866/000156459019007938/ck0001723866-ex991_6.htm
1724344|ETTX|2019-03-29|https://www.sec.gov/Archives/edgar/data/1724344/000155837019002587/ex-99d1.htm
1724521|RCUS|2019-03-05|https://www.sec.gov/Archives/edgar/data/1724521/000156459019006268/rcus-ex991_6.htm
